,Row,Anon Student Id,Problem Hierarchy,Problem Name,Problem View,Step Name,Step Start Time,First Transaction Time,Correct Transaction Time,Step End Time,Step Duration (sec),Correct Step Duration (sec),Error Step Duration (sec),Correct First Attempt,Incorrects,Hints,Corrects,KC(Default),Opportunity(Default)
73622,97882,lU0S6m4,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-003,1,RationalNumberline1,2007-01-25 10:39:36.0,2007-01-25 10:39:43.0,2007-01-25 10:39:43.0,2007-01-25 10:39:43.0,7.0,7.0,,1,0,0,1,Plot terminating proper fraction,2
73623,97883,lU0S6m4,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-055,1,RationalNumberline1,2007-01-25 10:39:46.0,2007-01-25 10:39:50.0,2007-01-25 10:39:50.0,2007-01-25 10:39:50.0,4.0,4.0,,1,0,0,1,Plot whole number,2
73631,97891,lU0S6m4,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-196,1,RationalNumberline1,2007-01-25 10:41:52.0,2007-01-25 10:42:01.0,2007-01-25 10:42:01.0,2007-01-25 10:42:01.0,9.0,9.0,,1,0,0,1,Plot decimal - thousandths,2
73636,97896,lU0S6m4,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-283,1,RationalNumberline1,2007-01-25 10:43:19.0,2007-01-25 10:44:23.0,2007-01-25 10:44:23.0,2007-01-25 10:44:23.0,64.0,64.0,,1,0,0,1,Plot non-terminating improper fraction,2
73637,97897,lU0S6m4,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-184,1,RationalNumberline1,2007-01-25 10:44:26.0,2007-01-25 10:44:39.0,2007-01-25 10:44:39.0,2007-01-25 10:44:39.0,13.0,13.0,,1,0,0,1,Plot imperfect radical,3
73639,97899,lU0S6m4,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-237,1,RationalNumberline1,2007-01-25 10:44:55.0,2007-01-25 10:45:09.0,2007-01-25 10:45:09.0,2007-01-25 10:45:09.0,14.0,14.0,,1,0,0,1,Plot pi,2
73642,97902,lU0S6m4,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-132,1,RationalNumberline1,2007-01-25 10:45:44.0,2007-01-25 10:45:55.0,2007-01-25 10:46:01.0,2007-01-25 10:46:01.0,17.0,,17.0,0,1,0,1,Plot decimal - thousandths,3
73643,97903,lU0S6m4,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-154,1,RationalNumberline1,2007-01-25 10:46:04.0,2007-01-25 10:46:12.0,2007-01-25 10:46:12.0,2007-01-25 10:46:12.0,8.0,8.0,,1,0,0,1,Plot decimal - thousandths,4
76201,101214,Sgkn3l2,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-001,1,SimplifiedNumeratorQuantity1,2006-10-31 10:08:59.0,2006-10-31 10:09:09.0,2006-10-31 10:09:09.0,2006-10-31 10:09:09.0,10.0,10.0,,1,0,0,1,Calculate unit rate,1
76209,101222,Sgkn3l2,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-001,1,SimplifiedNumeratorQuantity2,2006-10-31 10:09:47.0,2006-10-31 10:09:51.0,2006-10-31 10:10:29.0,2006-10-31 10:10:29.0,32.0,,32.0,0,1,0,1,Calculate unit rate,2
76216,101229,Sgkn3l2,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-133,1,SimplifiedNumeratorQuantity1,2006-10-31 10:13:10.0,2006-10-31 10:13:16.0,2006-10-31 10:14:03.0,2006-10-31 10:14:03.0,25.0,,25.0,0,2,0,1,Calculate unit rate,3
76226,101239,Sgkn3l2,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-133,1,SimplifiedNumeratorQuantity2,2006-10-31 10:16:50.0,2006-10-31 10:16:59.0,2006-10-31 10:17:04.0,2006-10-31 10:17:04.0,14.0,,14.0,0,1,0,1,Calculate unit rate,4
76235,101248,Sgkn3l2,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-039,1,SimplifiedNumeratorQuantity1,2006-10-31 10:18:55.0,2006-10-31 10:19:07.0,2006-10-31 10:20:50.0,2006-10-31 10:20:50.0,96.0,,96.0,0,11,3,1,Calculate unit rate,5
76243,101256,Sgkn3l2,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-039,1,SimplifiedNumeratorQuantity2,2006-10-31 10:21:17.0,2006-10-31 10:21:22.0,2006-10-31 10:21:22.0,2006-10-31 10:21:22.0,5.0,5.0,,1,0,0,1,Calculate unit rate,6
76251,101264,Sgkn3l2,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-197,1,SimplifiedNumeratorQuantity1,2006-10-31 10:22:00.0,2006-10-31 10:22:04.0,2006-10-31 10:22:18.0,2006-10-31 10:22:18.0,14.0,,14.0,0,2,0,1,Calculate unit rate,7
76259,101272,Sgkn3l2,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-197,1,SimplifiedNumeratorQuantity2,2006-10-31 10:22:48.0,2006-10-31 10:22:51.0,2006-10-31 10:22:51.0,2006-10-31 10:22:51.0,3.0,3.0,,1,0,0,1,Calculate unit rate,8
76269,101282,Sgkn3l2,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-178,1,SimplifiedNumeratorQuantity1,2006-10-31 10:24:15.0,2006-10-31 10:24:20.0,2006-10-31 10:24:20.0,2006-10-31 10:24:20.0,5.0,5.0,,1,0,0,1,Calculate unit rate,9
76277,101290,Sgkn3l2,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-178,1,SimplifiedNumeratorQuantity2,2006-10-31 10:24:49.0,2006-10-31 10:24:53.0,2006-10-31 10:24:53.0,2006-10-31 10:24:53.0,4.0,4.0,,1,0,0,1,Calculate unit rate,10
76289,101302,Sgkn3l2,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-001,1,EquationAnswer,2006-10-31 10:35:54.0,2006-10-31 10:35:57.0,2006-10-31 10:35:57.0,2006-10-31 10:35:57.0,3.0,3.0,,1,0,0,1,Calculate part in proportion with fractions,1
76301,101314,Sgkn3l2,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-054,1,EquationAnswer,2006-10-31 10:38:34.0,2006-10-31 10:38:37.0,2006-10-31 10:38:37.0,2006-10-31 10:38:37.0,3.0,3.0,,1,0,0,1,Calculate total in proportion with fractions,1
76311,101324,Sgkn3l2,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-120,1,EquationAnswer,2006-10-31 10:43:38.0,2006-10-31 10:43:44.0,2006-10-31 10:45:31.0,2006-10-31 10:45:31.0,33.0,,33.0,0,2,0,1,Calculate part in proportion with fractions,2
76326,101339,Sgkn3l2,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-114,1,EquationAnswer,2006-10-31 10:54:45.0,2006-10-31 10:55:02.0,2006-10-31 10:55:26.0,2006-10-31 10:55:26.0,24.0,,24.0,0,2,0,1,Calculate total in proportion with fractions,2
76334,101347,Sgkn3l2,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-182,1,EquationAnswer,2006-11-09 09:45:26.0,2006-11-09 09:46:29.0,2006-11-09 09:46:29.0,2006-11-09 09:46:29.0,63.0,63.0,,1,0,0,1,Calculate part in proportion with fractions,3
76350,101363,Sgkn3l2,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-113,1,EquationAnswer,2006-11-09 09:51:04.0,2006-11-09 09:51:08.0,2006-11-09 09:51:17.0,2006-11-09 09:51:17.0,13.0,,13.0,0,2,0,1,Calculate part in proportion with fractions,4
76362,101375,Sgkn3l2,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-147,1,EquationAnswer,2006-11-09 09:52:12.0,2006-11-09 09:52:20.0,2006-11-09 09:52:20.0,2006-11-09 09:52:20.0,8.0,8.0,,1,0,0,1,Calculate total in proportion with fractions,3
76370,101383,Sgkn3l2,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-163,1,EquationAnswer,2006-11-09 09:53:05.0,2006-11-09 09:53:16.0,2006-11-09 09:53:16.0,2006-11-09 09:53:16.0,11.0,11.0,,1,0,0,1,Calculate part in proportion with fractions,5
76382,101395,Sgkn3l2,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-137,1,EquationAnswer,2006-11-09 09:54:08.0,2006-11-09 09:54:17.0,2006-11-09 09:54:17.0,2006-11-09 09:54:17.0,9.0,9.0,,1,0,0,1,Calculate part in proportion with fractions,6
76398,101411,Sgkn3l2,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-160,1,EquationAnswer,2006-11-09 09:55:42.0,2006-11-09 09:55:47.0,2006-11-09 09:55:47.0,2006-11-09 09:55:47.0,5.0,5.0,,1,0,0,1,Calculate total in proportion with fractions,4
76410,101423,Sgkn3l2,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-008,1,EquationAnswer,2006-11-09 09:58:11.0,2006-11-09 09:58:18.0,2006-11-09 09:58:18.0,2006-11-09 09:58:18.0,7.0,7.0,,1,0,0,1,Calculate total in proportion with fractions,5
78646,104692,Vd9xmeb,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-001,1,SimplifiedNumeratorQuantity1,2006-10-12 10:03:57.0,2006-10-12 10:04:08.0,2006-10-12 10:04:08.0,2006-10-12 10:04:08.0,11.0,11.0,,1,0,0,1,Calculate unit rate,1
78657,104703,Vd9xmeb,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-001,1,SimplifiedNumeratorQuantity2,2006-10-12 10:04:26.0,2006-10-12 10:04:29.0,2006-10-12 10:05:56.0,2006-10-12 10:05:56.0,57.0,,57.0,0,2,1,1,Calculate unit rate,2
78666,104712,Vd9xmeb,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-061,1,SimplifiedNumeratorQuantity1,2006-10-12 10:07:21.0,2006-10-12 10:07:34.0,2006-10-12 10:08:28.0,2006-10-12 10:08:28.0,47.0,,47.0,0,1,1,1,Calculate unit rate,3
78675,104721,Vd9xmeb,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-061,1,SimplifiedNumeratorQuantity2,2006-10-12 10:08:46.0,2006-10-12 10:08:50.0,2006-10-12 10:09:37.0,2006-10-12 10:09:37.0,30.0,,30.0,0,3,0,1,Calculate unit rate,4
78684,104730,Vd9xmeb,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-170,1,SimplifiedNumeratorQuantity1,2006-10-12 10:10:22.0,2006-10-12 10:10:31.0,2006-10-12 10:10:31.0,2006-10-12 10:10:31.0,9.0,9.0,,1,0,0,1,Calculate unit rate,5
78690,104736,Vd9xmeb,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-170,1,SimplifiedNumeratorQuantity2,2006-10-12 10:10:54.0,2006-10-12 10:11:02.0,2006-10-12 10:11:02.0,2006-10-12 10:11:02.0,8.0,8.0,,1,0,0,1,Calculate unit rate,6
78703,104749,Vd9xmeb,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-129,1,SimplifiedNumeratorQuantity2,2006-10-12 10:12:42.0,2006-10-12 10:12:50.0,2006-10-12 10:12:50.0,2006-10-12 10:12:50.0,8.0,8.0,,1,0,0,1,Calculate unit rate,7
78707,104753,Vd9xmeb,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-129,1,SimplifiedNumeratorQuantity1,2006-10-12 10:13:01.0,2006-10-12 10:13:05.0,2006-10-12 10:13:05.0,2006-10-12 10:13:05.0,4.0,4.0,,1,0,0,1,Calculate unit rate,8
78716,104762,Vd9xmeb,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-010,1,SimplifiedNumeratorQuantity1,2006-10-12 10:14:19.0,2006-10-12 10:14:23.0,2006-10-12 10:14:23.0,2006-10-12 10:14:23.0,4.0,4.0,,1,0,0,1,Calculate unit rate,9
78724,104770,Vd9xmeb,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-010,1,SimplifiedNumeratorQuantity2,2006-10-12 10:15:41.0,2006-10-12 10:15:45.0,2006-10-12 10:15:51.0,2006-10-12 10:15:51.0,10.0,,10.0,0,1,0,1,Calculate unit rate,10
78739,104785,Vd9xmeb,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-001,1,EquationAnswer,2006-10-12 10:18:56.0,2006-10-12 10:18:59.0,2006-10-12 10:18:59.0,2006-10-12 10:18:59.0,3.0,3.0,,1,0,0,1,Calculate part in proportion with fractions,1
78752,104798,Vd9xmeb,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-109,1,EquationAnswer,2006-10-12 10:21:01.0,2006-10-12 10:21:05.0,2006-10-12 10:21:05.0,2006-10-12 10:21:05.0,4.0,4.0,,1,0,0,1,Calculate total in proportion with fractions,1
78764,104810,Vd9xmeb,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-026,1,EquationAnswer,2006-10-12 10:22:07.0,2006-10-12 10:22:13.0,2006-10-12 10:22:13.0,2006-10-12 10:22:13.0,6.0,6.0,,1,0,0,1,Calculate total in proportion with fractions,2
78776,104822,Vd9xmeb,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-180,1,EquationAnswer,2006-10-12 10:23:11.0,2006-10-12 10:23:13.0,2006-10-12 10:23:13.0,2006-10-12 10:23:13.0,2.0,2.0,,1,0,0,1,Calculate part in proportion with fractions,2
78788,104834,Vd9xmeb,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-071,1,EquationAnswer,2006-10-12 10:24:15.0,2006-10-12 10:24:19.0,2006-10-12 10:24:19.0,2006-10-12 10:24:19.0,4.0,4.0,,1,0,0,1,Calculate total in proportion with fractions,3
78800,104846,Vd9xmeb,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-094,1,EquationAnswer,2006-10-12 10:25:31.0,2006-10-12 10:25:33.0,2006-10-12 10:25:33.0,2006-10-12 10:25:33.0,2.0,2.0,,1,0,0,1,Calculate part in proportion with fractions,3
78812,104858,Vd9xmeb,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-113,1,EquationAnswer,2006-10-12 10:26:47.0,2006-10-12 10:26:49.0,2006-10-12 10:26:49.0,2006-10-12 10:26:49.0,2.0,2.0,,1,0,0,1,Calculate part in proportion with fractions,4
78824,104870,Vd9xmeb,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-146,1,EquationAnswer,2006-10-12 10:27:30.0,2006-10-12 10:27:32.0,2006-10-12 10:27:32.0,2006-10-12 10:27:32.0,2.0,2.0,,1,0,0,1,Calculate total in proportion with fractions,4
78836,104882,Vd9xmeb,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-162,1,EquationAnswer,2006-10-12 10:29:08.0,2006-10-12 10:29:10.0,2006-10-12 10:29:10.0,2006-10-12 10:29:10.0,2.0,2.0,,1,0,0,1,Calculate part in proportion with fractions,5
78848,104894,Vd9xmeb,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-022,1,EquationAnswer,2006-10-12 10:29:54.0,2006-10-12 10:29:55.0,2006-10-12 10:29:55.0,2006-10-12 10:29:55.0,1.0,1.0,,1,0,0,1,Calculate total in proportion with fractions,5
78860,104906,Vd9xmeb,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-040,1,EquationAnswer,2006-10-12 10:30:30.0,2006-10-12 10:30:33.0,2006-10-12 10:30:33.0,2006-10-12 10:30:33.0,3.0,3.0,,1,0,0,1,Calculate part in proportion with fractions,6
78872,104918,Vd9xmeb,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-025,1,EquationAnswer,2006-10-12 10:31:10.0,2006-10-12 10:31:12.0,2006-10-12 10:31:12.0,2006-10-12 10:31:12.0,2.0,2.0,,1,0,0,1,Calculate part in proportion with fractions,7
78884,104930,Vd9xmeb,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-097,1,EquationAnswer,2006-10-12 10:31:46.0,2006-10-12 10:31:52.0,2006-10-12 10:31:52.0,2006-10-12 10:31:52.0,6.0,6.0,,1,0,0,1,Calculate total in proportion with fractions,6
78896,104942,Vd9xmeb,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-138,1,EquationAnswer,2006-10-12 10:32:30.0,2006-10-12 10:32:31.0,2006-10-12 10:32:31.0,2006-10-12 10:32:31.0,1.0,1.0,,1,0,0,1,Calculate total in proportion with fractions,7
78908,104954,Vd9xmeb,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-122,1,EquationAnswer,2006-10-12 10:33:08.0,2006-10-12 10:33:10.0,2006-10-12 10:33:10.0,2006-10-12 10:33:10.0,2.0,2.0,,1,0,0,1,Calculate part in proportion with fractions,8
78920,104966,Vd9xmeb,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-054,1,EquationAnswer,2006-10-12 10:33:55.0,2006-10-12 10:33:56.0,2006-10-12 10:33:56.0,2006-10-12 10:33:56.0,1.0,1.0,,1,0,0,1,Calculate total in proportion with fractions,8
80480,107103,Vd9xmeb,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-272,1,RationalNumberline1,2006-12-12 10:11:56.0,2006-12-12 10:12:10.0,2006-12-12 10:12:10.0,2006-12-12 10:12:10.0,14.0,14.0,,1,0,0,1,Plot terminating proper fraction,1
80483,107106,Vd9xmeb,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-300,1,RationalNumberline1,2006-12-12 10:12:56.0,2006-12-12 10:14:47.0,2006-12-12 10:14:49.0,2006-12-12 10:14:49.0,113.0,,113.0,0,1,0,1,Plot whole number,1
80491,107114,Vd9xmeb,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-085,1,RationalNumberline1,2006-12-12 10:20:27.0,2006-12-12 10:20:51.0,2006-12-12 10:20:51.0,2006-12-12 10:20:51.0,24.0,24.0,,1,0,0,1,Plot imperfect radical,1
80492,107115,Vd9xmeb,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-002,1,RationalNumberline1,2006-12-12 10:20:55.0,2006-12-12 10:20:59.0,2006-12-12 10:20:59.0,2006-12-12 10:20:59.0,4.0,4.0,,1,0,0,1,Plot whole number,2
80496,107119,Vd9xmeb,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-196,1,RationalNumberline1,2006-12-12 10:21:54.0,2006-12-12 10:22:04.0,2006-12-12 10:22:11.0,2006-12-12 10:22:11.0,17.0,,17.0,0,3,1,1,Plot decimal - thousandths,1
80497,107120,Vd9xmeb,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-242,1,RationalNumberline1,2006-12-12 10:22:14.0,2006-12-12 10:22:28.0,2006-12-12 10:22:28.0,2006-12-12 10:22:28.0,14.0,14.0,,1,0,0,1,Plot pi,1
80500,107123,Vd9xmeb,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-283,1,RationalNumberline1,2006-12-12 10:24:43.0,2006-12-12 10:24:58.0,2006-12-12 10:24:58.0,2006-12-12 10:24:58.0,15.0,15.0,,1,0,0,1,Plot non-terminating improper fraction,1
80503,107126,Vd9xmeb,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-143,1,RationalNumberline1,2006-12-12 10:25:43.0,2006-12-12 10:27:21.0,2006-12-12 10:27:21.0,2006-12-12 10:27:21.0,98.0,98.0,,1,0,0,1,Plot terminating proper fraction,2
80505,107128,Vd9xmeb,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-118,1,RationalNumberline1,2006-12-12 10:28:38.0,2006-12-12 10:28:50.0,2006-12-12 10:28:50.0,2006-12-12 10:28:50.0,12.0,12.0,,1,0,0,1,Plot non-terminating improper fraction,2
80511,107134,Vd9xmeb,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-164,1,RationalNumberline1,2006-12-12 10:30:43.0,2006-12-12 10:30:51.0,2006-12-12 10:30:51.0,2006-12-12 10:30:51.0,8.0,8.0,,1,0,0,1,Plot decimal - thousandths,2
80517,107140,Vd9xmeb,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-298,1,RationalNumberline1,2006-12-12 10:33:11.0,2006-12-12 10:33:36.0,2006-12-12 10:33:36.0,2006-12-12 10:33:36.0,25.0,25.0,,1,0,0,1,Plot whole number,3
80519,107142,Vd9xmeb,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-256,1,RationalNumberline1,2006-12-12 10:33:56.0,2006-12-12 10:34:17.0,2006-12-12 10:34:47.0,2006-12-12 10:34:47.0,51.0,,51.0,0,10,3,1,Plot imperfect radical,2
80520,107143,Vd9xmeb,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-183,1,RationalNumberline1,2006-12-12 10:34:50.0,2006-12-12 10:35:24.0,2006-12-12 10:35:24.0,2006-12-12 10:35:24.0,34.0,34.0,,1,0,0,1,Plot imperfect radical,3
80529,107152,Vd9xmeb,"Unit RATIONAL-IRRATIONAL-NUMBERS, Section RATIONAL-IRRATIONAL-NUMBERS-1",RATIONAL1-063,1,RationalNumberline1,2006-12-12 10:40:45.0,2006-12-12 10:40:51.0,2006-12-12 10:40:51.0,2006-12-12 10:40:51.0,6.0,6.0,,1,0,0,1,Plot pi,2
81573,108575,Vd9xmeb,"Unit LINEAR-SYSTEMS-SOLVING, Section LINEAR-SYSTEMS-SOLVING-2",SY=-X&Y=7,1,Intersection 1 X,2007-05-03 10:17:06.0,2007-05-03 10:17:08.0,2007-05-03 10:17:08.0,2007-05-03 10:17:08.0,2.0,2.0,,1,0,0,1,"Finding the intersection, Mixed",1
82782,110435,zd9SY9L,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-001,1,SimplifiedNumeratorQuantity1,2006-12-12 10:07:52.0,2006-12-12 10:07:55.0,2006-12-12 10:07:55.0,2006-12-12 10:07:55.0,3.0,3.0,,1,0,0,1,Calculate unit rate,1
82791,110444,zd9SY9L,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-001,1,SimplifiedNumeratorQuantity2,2006-12-12 10:08:55.0,2006-12-12 10:09:01.0,2006-12-12 10:09:50.0,2006-12-12 10:09:50.0,23.0,,23.0,0,1,0,1,Calculate unit rate,2
82800,110453,zd9SY9L,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-110,1,SimplifiedNumeratorQuantity1,2006-12-12 10:24:19.0,2006-12-12 10:24:24.0,2006-12-12 10:25:17.0,2006-12-12 10:25:17.0,51.0,,51.0,0,3,1,1,Calculate unit rate,3
82808,110461,zd9SY9L,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-110,1,SimplifiedNumeratorQuantity2,2006-12-12 10:26:12.0,2006-12-12 10:27:09.0,2006-12-12 10:27:09.0,2006-12-12 10:27:09.0,57.0,57.0,,1,0,0,1,Calculate unit rate,4
82817,110470,zd9SY9L,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-134,1,SimplifiedNumeratorQuantity1,2006-12-12 10:30:19.0,2006-12-12 10:30:22.0,2006-12-12 10:31:24.0,2006-12-12 10:31:24.0,65.0,,65.0,0,1,0,1,Calculate unit rate,5
82825,110478,zd9SY9L,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-134,1,SimplifiedNumeratorQuantity2,2006-12-12 10:32:31.0,2006-12-12 10:32:36.0,2006-12-12 10:32:57.0,2006-12-12 10:32:57.0,26.0,,26.0,0,1,0,1,Calculate unit rate,6
82834,110487,zd9SY9L,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-190,1,SimplifiedNumeratorQuantity1,2006-12-12 10:34:03.0,2006-12-12 10:34:06.0,2006-12-12 10:34:06.0,2006-12-12 10:34:06.0,3.0,3.0,,1,0,0,1,Calculate unit rate,7
82842,110495,zd9SY9L,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-190,1,SimplifiedNumeratorQuantity2,2006-12-12 10:34:31.0,2006-12-12 10:34:38.0,2006-12-12 10:34:38.0,2006-12-12 10:34:38.0,7.0,7.0,,1,0,0,1,Calculate unit rate,8
82851,110504,zd9SY9L,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-060,1,SimplifiedNumeratorQuantity1,2006-12-12 10:35:59.0,2006-12-12 10:36:02.0,2006-12-12 10:36:26.0,2006-12-12 10:36:26.0,27.0,,27.0,0,2,0,1,Calculate unit rate,9
82859,110512,zd9SY9L,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-060,1,SimplifiedNumeratorQuantity2,2006-12-12 10:37:01.0,2006-12-12 10:37:05.0,2006-12-12 10:37:18.0,2006-12-12 10:37:18.0,17.0,,17.0,0,1,0,1,Calculate unit rate,10
82868,110521,zd9SY9L,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-004,1,SimplifiedNumeratorQuantity1,2006-12-12 10:38:19.0,2006-12-12 10:38:22.0,2006-12-12 10:38:22.0,2006-12-12 10:38:22.0,3.0,3.0,,1,0,0,1,Calculate unit rate,11
82876,110529,zd9SY9L,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-2",RATIO2-004,1,SimplifiedNumeratorQuantity2,2006-12-12 10:38:55.0,2006-12-12 10:39:20.0,2006-12-12 10:39:20.0,2006-12-12 10:39:20.0,25.0,25.0,,1,0,0,1,Calculate unit rate,12
82886,110539,zd9SY9L,"Unit RATIO-PROPORTION, Section RATIO-PROPORTION-3",RATIO3-001,1,EquationAnswer,2006-12-12 10:45:52.0,2006-12-12 10:46:07.0,2006-12-12 10:46:07.0,2006-12-12 10:46:07.0,15.0,15.0,,1,0,0,1,Calculate part in proportion with fractions,1
